date,myr_per_usd
2003-12-01,0.263379693031311
2003-12-02,0.263358861207962
2003-12-03,0.2638383209705353
2003-12-04,0.263247936964035
2003-12-05,0.2638801038265228
2003-12-06,0.2638801038265228
2003-12-07,0.2638801038265228
2003-12-08,0.2633311450481415
2003-12-09,0.2636852860450744
2003-12-10,0.2626395225524902
2003-12-11,0.2644663155078888
2003-12-12,0.2630540430545807
2003-12-13,0.2630540430545807
2003-12-14,0.2630540430545807
2003-12-15,0.263650506734848
2003-12-16,0.2631440460681915
2003-12-17,0.2635740637779236
2003-12-18,0.2641938030719757
2003-12-19,0.2633033990859985
2003-12-20,0.2633033990859985
2003-12-21,0.2633033990859985
2003-12-22,0.2628673613071441
2003-12-23,0.2631163597106933
2003-12-24,0.2637895941734314
2003-12-25,0.2636991739273071
2003-12-26,0.2633172869682312
2003-12-27,0.2633172869682312
2003-12-28,0.2633172869682312
2003-12-29,0.2631925344467163
2003-12-30,0.2637548148632049
2003-12-31,0.2623019516468048
2004-01-01,0.2621438205242157
2004-01-02,0.2630263864994049
2004-01-03,0.2630263864994049
2004-01-04,0.2630263864994049
2004-01-05,0.2633519470691681
2004-01-06,0.2635045945644378
2004-01-07,0.2627982795238495
2004-01-08,0.2632410228252411
2004-01-09,0.264151930809021
2004-01-10,0.264151930809021
2004-01-11,0.264151930809021
2004-01-12,0.2619583904743194
2004-01-13,0.264319509267807
2004-01-14,0.2617458403110504
2004-01-15,0.2634560167789459
2004-01-16,0.2636643946170807
2004-01-17,0.2636643946170807
2004-01-18,0.2636643946170807
2004-01-19,0.2623776495456695
2004-01-20,0.2633380591869354
2004-01-21,0.2640612721443176
2004-01-22,0.2633658051490783
2004-01-23,0.2626533210277557
2004-01-24,0.2626533210277557
2004-01-25,0.2626533210277557
2004-01-26,0.2618692219257355
2004-01-27,0.2630817294120788
2004-01-28,0.2596054077148437
2004-01-29,0.2636922299861908
2004-01-30,0.2635254561901092
2004-01-31,0.2635254561901092
2004-02-01,0.2635254561901092
2004-02-02,0.2634004950523376
2004-02-03,0.2627016305923462
2004-02-04,0.2629779577255249
2004-02-05,0.2624534070491791
2004-02-06,0.2638174295425415
2004-02-07,0.2638174295425415
2004-02-08,0.2638174295425415
2004-02-09,0.2636296451091766
2004-02-10,0.2622744441032409
2004-02-11,0.2634907066822052
2004-02-12,0.2633658051490783
2004-02-13,0.2632063925266266
2004-02-14,0.2632063925266266
2004-02-15,0.2632063925266266
2004-02-16,0.2630402147769928
2004-02-17,0.2634837925434112
2004-02-18,0.2614789307117462
2004-02-19,0.2647323608398437
2004-02-20,0.26277756690979
2004-02-21,0.26277756690979
2004-02-22,0.26277756690979
2004-02-23,0.2631994485855102
2004-02-24,0.2628397345542907
2004-02-25,0.2631440460681915
2004-02-26,0.2633242011070251
2004-02-27,0.2643824219703674
2004-02-28,0.2643824219703674
2004-02-29,0.2643824219703674
2004-03-01,0.2634421288967132
2004-03-02,0.263012558221817
2004-03-03,0.2653505206108093
2004-03-04,0.2625636756420135
2004-03-05,0.2631301879882812
2004-03-06,0.2631301879882812
2004-03-07,0.2631301879882812
2004-03-08,0.2643404603004455
2004-03-09,0.2608514130115509
2004-03-10,0.2633658051490783
2004-03-11,0.2650200128555298
2004-03-12,0.2638522386550903
2004-03-13,0.2638522386550903
2004-03-14,0.2638522386550903
2004-03-15,0.2638940215110779
2004-03-16,0.2636365890502929
2004-03-17,0.262881189584732
2004-03-18,0.2663967311382293
2004-03-19,0.2638104856014251
2004-03-20,0.2638104856014251
2004-03-21,0.2638104856014251
2004-03-22,0.2654984593391418
2004-03-23,0.2654421031475067
2004-03-24,0.2610352635383606
2004-03-25,0.2609875798225403
2004-03-26,0.2607426047325134
2004-03-27,0.2607426047325134
2004-03-28,0.2607426047325134
2004-03-29,0.2616157233715057
2004-03-30,0.2619789838790893
2004-03-31,0.2647393643856048
2004-04-01,0.265872597694397
2004-04-02,0.2607834041118622
2004-04-03,0.2607834041118622
2004-04-04,0.2607834041118622
2004-04-05,0.2583245038986206
2004-04-06,0.2608514130115509
2004-04-07,0.2630402147769928
2004-04-08,0.2629710435867309
2004-04-09,0.2631509602069855
2004-04-10,0.2631509602069855
2004-04-11,0.2631509602069855
2004-04-12,0.2628466188907623
2004-04-13,0.2630955874919891
2004-04-14,0.2629019021987915
2004-04-15,0.2634213268756866
2004-04-16,0.2626671195030212
2004-04-17,0.2626671195030212
2004-04-18,0.2626671195030212
2004-04-19,0.2629848718643188
2004-04-20,0.2618623673915863
2004-04-21,0.2624672055244446
2004-04-22,0.264026403427124
2004-04-23,0.2642496526241302
2004-04-24,0.2642496526241302
2004-04-25,0.2642496526241302
2004-04-26,0.2629710435867309
2004-04-27,0.2630955874919891
2004-04-28,0.2634699046611786
2004-04-29,0.2632271647453308
2004-04-30,0.2633727490901947
2004-05-01,0.2633727490901947
2004-05-02,0.2633727490901947
2004-05-03,0.2636922299861908
2004-05-04,0.2634699046611786
2004-05-05,0.2630333006381988
2004-05-06,0.263247936964035
2004-05-07,0.2630817294120788
2004-05-08,0.2630817294120788
2004-05-09,0.2630817294120788
2004-05-10,0.2627706527709961
2004-05-11,0.2635740637779236
2004-05-12,0.2631301879882812
2004-05-13,0.2628397345542907
2004-05-14,0.263379693031311
2004-05-15,0.263379693031311
2004-05-16,0.263379693031311
2004-05-17,0.2636227011680603
2004-05-18,0.2632895410060882
2004-05-19,0.2630540430545807
2004-05-20,0.2640891373157501
2004-05-21,0.2635740637779236
2004-05-22,0.2635740637779236
2004-05-23,0.2635740637779236
2004-05-24,0.2628189921379089
2004-05-25,0.2629848718643188
2004-05-26,0.2634351849555969
2004-05-27,0.263247936964035
2004-05-28,0.2632826268672943
2004-05-29,0.2632826268672943
2004-05-30,0.2632826268672943
2004-05-31,0.2632826268672943
2004-06-01,0.2635948956012726
2004-06-02,0.2629779577255249
2004-06-03,0.2632964551448822
2004-06-04,0.2635601758956909
2004-06-05,0.2635601758956909
2004-06-06,0.2635601758956909
2004-06-07,0.2633866369724273
2004-06-08,0.2629779577255249
2004-06-09,0.2631232738494873
2004-06-10,0.2631301879882812
2004-06-11,0.2632548809051513
2004-06-12,0.2632548809051513
2004-06-13,0.2632548809051513
2004-06-14,0.2631579041481018
2004-06-15,0.2632271647453308
2004-06-16,0.2632202506065368
2004-06-17,0.262549877166748
2004-06-18,0.2632895410060882
2004-06-19,0.2632895410060882
2004-06-20,0.2632895410060882
2004-06-21,0.2636018395423889
2004-06-22,0.2637756764888763
2004-06-23,0.2632063925266266
2004-06-24,0.2633242011070251
2004-06-25,0.2642357051372528
2004-06-26,0.2642357051372528
2004-06-27,0.2642357051372528
2004-06-28,0.2633380591869354
2004-06-29,0.2635115683078766
2004-06-30,0.2627499401569366
2004-07-01,0.2629295587539673
2004-07-02,0.2631232738494873
2004-07-03,0.2631232738494873
2004-07-04,0.2631232738494873
2004-07-05,0.263650506734848
2004-07-06,0.2627361416816711
2004-07-07,0.2632341086864471
2004-07-08,0.2633242011070251
2004-07-09,0.2634768486022949
2004-07-10,0.2634768486022949
2004-07-11,0.2634768486022949
2004-07-12,0.2633033990859985
2004-07-13,0.2632271647453308
2004-07-14,0.2629433870315552
2004-07-15,0.2635532319545746
2004-07-16,0.2632964551448822
2004-07-17,0.2632964551448822
2004-07-18,0.2632964551448822
2004-07-19,0.2633242011070251
2004-07-20,0.2631717622280121
2004-07-21,0.2637130618095398
2004-07-22,0.263407438993454
2004-07-23,0.2631925344467163
2004-07-24,0.2631925344467163
2004-07-25,0.2631925344467163
2004-07-26,0.2631579041481018
2004-07-27,0.2633103430271148
2004-07-28,0.263247936964035
2004-07-29,0.2632063925266266
2004-07-30,0.2631509602069855
2004-07-31,0.2631509602069855
2004-08-01,0.2631509602069855
2004-08-02,0.2628466188907623
2004-08-03,0.263247936964035
2004-08-04,0.2634004950523376
2004-08-05,0.2630194723606109
2004-08-06,0.2639009952545166
2004-08-07,0.2639009952545166
2004-08-08,0.2639009952545166
2004-08-09,0.2631232738494873
2004-08-10,0.263247936964035
2004-08-11,0.2633380591869354
2004-08-12,0.2628397345542907
2004-08-13,0.2632617950439453
2004-08-14,0.2632617950439453
2004-08-15,0.2632617950439453
2004-08-16,0.2633103430271148
2004-08-17,0.2632895410060882
2004-08-18,0.2634768486022949
2004-08-19,0.2633519470691681
2004-08-20,0.2635115683078766
2004-08-21,0.2635115683078766
2004-08-22,0.2635115683078766
2004-08-23,0.2633450031280517
2004-08-24,0.2633242011070251
2004-08-25,0.2630955874919891
2004-08-26,0.2635532319545746
2004-08-27,0.263060986995697
2004-08-28,0.263060986995697
2004-08-29,0.263060986995697
2004-08-30,0.2631301879882812
2004-08-31,0.2632964551448822
2004-09-01,0.2631856203079223
2004-09-02,0.2634699046611786
2004-09-03,0.2629088163375854
2004-09-04,0.2629088163375854
2004-09-05,0.2629088163375854
2004-09-06,0.2630263864994049
2004-09-07,0.2633866369724273
2004-09-08,0.2631579041481018
2004-09-09,0.2642985582351684
2004-09-10,0.2632341086864471
2004-09-11,0.2632341086864471
2004-09-12,0.2632341086864471
2004-09-13,0.2633172869682312
2004-09-14,0.2632617950439453
2004-09-15,0.263247936964035
2004-09-16,0.2632826268672943
2004-09-17,0.2633450031280517
2004-09-18,0.2633450031280517
2004-09-19,0.2633450031280517
2004-09-20,0.2633519470691681
2004-09-21,0.2634143829345703
2004-09-22,0.2633866369724273
2004-09-23,0.2631025016307831
2004-09-24,0.263428270816803
2004-09-25,0.263428270816803
2004-09-26,0.263428270816803
2004-09-27,0.2634560167789459
2004-09-28,0.2632548809051513
2004-09-29,0.2633866369724273
2004-09-30,0.2630955874919891
2004-10-01,0.2633033990859985
2004-10-02,0.2633033990859985
2004-10-03,0.2633033990859985
2004-10-04,0.2631994485855102
2004-10-05,0.2629226446151733
2004-10-06,0.2633935511112213
2004-10-07,0.2633103430271148
2004-10-08,0.2630471289157867
2004-10-09,0.2630471289157867
2004-10-10,0.2630471289157867
2004-10-11,0.2633935511112213
2004-10-12,0.2635601758956909
2004-10-13,0.2633450031280517
2004-10-14,0.2631025016307831
2004-10-15,0.2632063925266266
2004-10-16,0.2632063925266266
2004-10-17,0.2632063925266266
2004-10-18,0.2628466188907623
2004-10-19,0.263247936964035
2004-10-20,0.262964129447937
2004-10-21,0.2631579041481018
2004-10-22,0.2640891373157501
2004-10-23,0.2640891373157501
2004-10-24,0.2640891373157501
2004-10-25,0.2635671198368072
2004-10-26,0.263407438993454
2004-10-27,0.2632687389850616
2004-10-28,0.2632687389850616
2004-10-29,0.2632964551448822
2004-10-30,0.2632964551448822
2004-10-31,0.2632964551448822
2004-11-01,0.2631094455718994
2004-11-02,0.2639079391956329
2004-11-03,0.263247936964035
2004-11-04,0.2634768486022949
2004-11-05,0.2636643946170807
2004-11-06,0.2636643946170807
2004-11-07,0.2636643946170807
2004-11-08,0.2631371319293976
2004-11-09,0.2632271647453308
2004-11-10,0.2631025016307831
2004-11-11,0.2631856203079223
2004-11-12,0.2628604471683502
2004-11-13,0.2628604471683502
2004-11-14,0.2628604471683502
2004-11-15,0.2636922299861908
2004-11-16,0.2631509602069855
2004-11-17,0.2631579041481018
2004-11-18,0.2626740336418152
2004-11-19,0.2635601758956909
2004-11-20,0.2635601758956909
2004-11-21,0.2635601758956909
2004-11-22,0.263247936964035
2004-11-23,0.2635184824466705
2004-11-24,0.2632617950439453
2004-11-25,0.2635045945644378
2004-11-26,0.2631371319293976
2004-11-27,0.2631371319293976
2004-11-28,0.2631371319293976
2004-11-29,0.263012558221817
2004-11-30,0.2633242011070251
2004-12-01,0.2636783123016357
2004-12-02,0.2630886435508728
2004-12-03,0.2633727490901947
2004-12-04,0.2633727490901947
2004-12-05,0.2633727490901947
2004-12-06,0.2626050412654876
2004-12-07,0.2632826268672943
2004-12-08,0.2634560167789459
2004-12-09,0.2627913653850555
2004-12-10,0.2628051936626434
2004-12-11,0.2628051936626434
2004-12-12,0.2628051936626434
2004-12-13,0.2631163597106933
2004-12-14,0.2632687389850616
2004-12-15,0.2630679011344909
2004-12-16,0.2636435627937317
2004-12-17,0.2636783123016357
2004-12-18,0.2636783123016357
2004-12-19,0.2636783123016357
2004-12-20,0.2632271647453308
2004-12-21,0.2632410228252411
2004-12-22,0.2631509602069855
2004-12-23,0.2636922299861908
2004-12-24,0.2641589343547821
2004-12-25,0.2641589343547821
2004-12-26,0.2641589343547821
2004-12-27,0.2631994485855102
2004-12-28,0.2627982795238495
2004-12-29,0.2639845907688141
2004-12-30,0.2633242011070251
2004-12-31,0.269621729850769
2005-01-01,0.269621729850769
2005-01-02,0.269621729850769
2005-01-03,0.2630471289157867
2005-01-04,0.2627706527709961
2005-01-05,0.2629157304763794
2005-01-06,0.263247936964035
2005-01-07,0.2632687389850616
2005-01-08,0.2632687389850616
2005-01-09,0.2632687389850616
2005-01-10,0.2632410228252411
2005-01-11,0.2624052166938782
2005-01-12,0.2628535330295563
2005-01-13,0.2632964551448822
2005-01-14,0.2631994485855102
2005-01-15,0.2631994485855102
2005-01-16,0.2631994485855102
2005-01-17,0.2633311450481415
2005-01-18,0.2632133066654205
2005-01-19,0.2633033990859985
2005-01-20,0.2632826268672943
2005-01-21,0.2632410228252411
2005-01-22,0.2632410228252411
2005-01-23,0.2632410228252411
2005-01-24,0.2632410228252411
2005-01-25,0.2632202506065368
2005-01-26,0.2632617950439453
2005-01-27,0.2631994485855102
2005-01-28,0.2632341086864471
2005-01-29,0.2632341086864471
2005-01-30,0.2632341086864471
2005-01-31,0.2632617950439453
2005-02-01,0.2630540430545807
2005-02-02,0.2630748152732849
2005-02-03,0.2632410228252411
2005-02-04,0.263275682926178
2005-02-05,0.263275682926178
2005-02-06,0.263275682926178
2005-02-07,0.2632617950439453
2005-02-08,0.2632133066654205
2005-02-09,0.2632133066654205
2005-02-10,0.2630402147769928
2005-02-11,0.263247936964035
2005-02-12,0.263247936964035
2005-02-13,0.263247936964035
2005-02-14,0.2631856203079223
2005-02-15,0.2632617950439453
2005-02-16,0.2628397345542907
2005-02-17,0.2632687389850616
2005-02-18,0.263178676366806
2005-02-19,0.263178676366806
2005-02-20,0.263178676366806
2005-02-21,0.2632548809051513
2005-02-22,0.2631856203079223
2005-02-23,0.2632133066654205
2005-02-24,0.2631371319293976
2005-02-25,0.2632548809051513
2005-02-26,0.2632548809051513
2005-02-27,0.2632548809051513
2005-02-28,0.2632271647453308
2005-03-01,0.263012558221817
2005-03-02,0.2632202506065368
2005-03-03,0.2632617950439453
2005-03-04,0.2632617950439453
2005-03-05,0.2632617950439453
2005-03-06,0.2632617950439453
2005-03-07,0.2632410228252411
2005-03-08,0.2632133066654205
2005-03-09,0.2632202506065368
2005-03-10,0.2632271647453308
2005-03-11,0.2632687389850616
2005-03-12,0.2632687389850616
2005-03-13,0.2632687389850616
2005-03-14,0.263275682926178
2005-03-15,0.2632202506065368
2005-03-16,0.2630263864994049
2005-03-17,0.2631925344467163
2005-03-18,0.263275682926178
2005-03-19,0.263275682926178
2005-03-20,0.263275682926178
2005-03-21,0.2631925344467163
2005-03-22,0.2632617950439453
2005-03-23,0.2631925344467163
2005-03-24,0.2631925344467163
2005-03-25,0.263247936964035
2005-03-26,0.263247936964035
2005-03-27,0.263247936964035
2005-03-28,0.2631925344467163
2005-03-29,0.2631925344467163
2005-03-30,0.2631925344467163
2005-03-31,0.2631925344467163
2005-04-01,0.2632548809051513
2005-04-02,0.2632548809051513
2005-04-03,0.2632548809051513
2005-04-04,0.263178676366806
2005-04-05,0.2633658051490783
2005-04-06,0.2632063925266266
2005-04-07,0.263247936964035
2005-04-08,0.2637130618095398
2005-04-09,0.2637130618095398
2005-04-10,0.2637130618095398
2005-04-11,0.2632410228252411
2005-04-12,0.2631925344467163
2005-04-13,0.2631994485855102
2005-04-14,0.2632687389850616
2005-04-15,0.2632410228252411
2005-04-16,0.2632410228252411
2005-04-17,0.2632410228252411
2005-04-18,0.2632617950439453
2005-04-19,0.2631925344467163
2005-04-20,0.2631925344467163
2005-04-21,0.2631925344467163
2005-04-22,0.263275682926178
2005-04-23,0.263275682926178
