year,series,value
1998,Nominal GDP (RM mil),0.5
1998,Nominal GDP (RM mil),283243.0
1998,Real GDP (RM mil),-7.4
1998,Real GDP (RM mil),500899.19978055893
1999,Nominal GDP (RM mil),300764.0
1999,Nominal GDP (RM mil),6.2
1999,Real GDP (RM mil),531642.4492279574
1999,Real GDP (RM mil),6.1
2000,Nominal GDP (RM mil),18.5
2000,Nominal GDP (RM mil),356401.0
2000,Real GDP (RM mil),578739.9529634219
2000,Real GDP (RM mil),8.9
2001,Nominal GDP (RM mil),-1.1
2001,Nominal GDP (RM mil),352579.0
2001,Real GDP (RM mil),0.5
2001,Real GDP (RM mil),581735.9468389092
2002,Nominal GDP (RM mil),383213.0
2002,Nominal GDP (RM mil),8.7
2002,Real GDP (RM mil),5.4
2002,Real GDP (RM mil),613097.2637588464
2003,Nominal GDP (RM mil),418769.0
2003,Nominal GDP (RM mil),9.3
2003,Real GDP (RM mil),5.8
2003,Real GDP (RM mil),648586.3944627884
2004,Nominal GDP (RM mil),13.2
2004,Nominal GDP (RM mil),474048.0
2004,Real GDP (RM mil),6.8
2004,Real GDP (RM mil),692582.8486971786
2005,Nominal GDP (RM mil),14.7
2005,Nominal GDP (RM mil),543578.0
2005,Real GDP (RM mil),5.3
2005,Real GDP (RM mil),729512.3298442409
2006,Nominal GDP (RM mil),596784.0
2006,Nominal GDP (RM mil),9.8
2006,Real GDP (RM mil),5.8
2006,Real GDP (RM mil),772180.4789349193
2007,Nominal GDP (RM mil),11.5
2007,Nominal GDP (RM mil),665340.0
2007,Real GDP (RM mil),6.5
2007,Real GDP (RM mil),822219.260112772
2008,Nominal GDP (RM mil),15.7
2008,Nominal GDP (RM mil),769949.0
2008,Real GDP (RM mil),4.8
2008,Real GDP (RM mil),861746.8931301754
2009,Nominal GDP (RM mil),-7.4
2009,Nominal GDP (RM mil),712857.0
2009,Real GDP (RM mil),-1.6
2009,Real GDP (RM mil),847648.6715437366
2010,Nominal GDP (RM mil),15.2
2010,Nominal GDP (RM mil),821434.0
2010,Real GDP (RM mil),7.2
2010,Real GDP (RM mil),908628.9197855636
2011,Nominal GDP (RM mil),11.0
2011,Nominal GDP (RM mil),911733.0
2011,Real GDP (RM mil),5.3
2011,Real GDP (RM mil),956730.9428401182
2012,Nominal GDP (RM mil),6.5
2012,Nominal GDP (RM mil),971252.0
2012,Real GDP (RM mil),1009097.1727399864
2012,Real GDP (RM mil),5.5
2013,Nominal GDP (RM mil),1018614.0
2013,Nominal GDP (RM mil),4.9
2013,Real GDP (RM mil),1056461.3939875828
2013,Real GDP (RM mil),4.7
2014,Nominal GDP (RM mil),1106443.0
2014,Nominal GDP (RM mil),8.6
2014,Real GDP (RM mil),1119920.0924334445
2014,Real GDP (RM mil),6.0
2015,Nominal GDP (RM mil),1176941.0
2015,Nominal GDP (RM mil),6.4
2015,Real GDP (RM mil),1176941.0
2015,Real GDP (RM mil),5.1
2016,Nominal GDP (RM mil),1249698.0
2016,Nominal GDP (RM mil),6.2
2016,Real GDP (RM mil),1229312.0
2016,Real GDP (RM mil),4.4
2017,Nominal GDP (RM mil),1372309.832
2017,Nominal GDP (RM mil),9.8
2017,Real GDP (RM mil),1300769.0
2017,Real GDP (RM mil),5.8
2018,Nominal GDP (RM mil),1447760.0
2018,Nominal GDP (RM mil),5.5
2018,Real GDP (RM mil),1363766.0
2018,Real GDP (RM mil),4.8
2019,Nominal GDP (RM mil),1512738.0
2019,Nominal GDP (RM mil),4.5
2019,Real GDP (RM mil),1423952.0
2019,Real GDP (RM mil),4.4
2020,Nominal GDP (RM mil),-6.2
2020,Nominal GDP (RM mil),1418491.0
2020,Real GDP (RM mil),-5.5
2020,Real GDP (RM mil),1346249.0
2021,Nominal GDP (RM mil),1548700.7910000002
2021,Nominal GDP (RM mil),9.2
2021,Real GDP (RM mil),1390882.0
2021,Real GDP (RM mil),3.3
2022,Nominal GDP (RM mil),15.8
2022,Nominal GDP (RM mil),1793903.063
2022,Real GDP (RM mil),1516502.754
2022,Real GDP (RM mil),9.0
2023,Nominal GDP (RM mil),1.7
2023,Nominal GDP (RM mil),1824018.518
2023,Real GDP (RM mil),1570142.424
2023,Real GDP (RM mil),3.5
2024,Nominal GDP (RM mil),1932291.49
2024,Nominal GDP (RM mil),5.9
2024,Real GDP (RM mil),1650305.405
2024,Real GDP (RM mil),5.1
2025,Nominal GDP (RM mil),2023075.573
2025,Nominal GDP (RM mil),4.7
2025,Real GDP (RM mil),1735647.167
2025,Real GDP (RM mil),5.2
